date,secID,EPcut,FCFP
2015-03-31,200011.SZ,0.08237,0.00407
2015-03-31,200012.SZ,-0.08227,-0.01078
2015-03-31,200016.SZ,0.10259,-0.31482
2015-03-31,200017.SZ,0.07828,-0.00398
2015-03-31,200018.SZ,0.00600,0.00623
2015-03-31,200019.SZ,0.03535,-0.01774
2015-03-31,200020.SZ,0.05696,-0.33832
2015-03-31,200024.SZ,0.06291,-0.12189
2015-03-31,200025.SZ,-0.00718,-0.04636
2015-03-31,200026.SZ,0.03983,0.10798
2015-03-31,200028.SZ,0.08526,-0.07503
2015-03-31,200029.SZ,-0.05346,0.06357
2015-03-31,200030.SZ,-0.00108,0.03496
2015-03-31,200037.SZ,0.00211,0.00532
2015-03-31,200045.SZ,0.02681,0.03392
2015-03-31,200053.SZ,0.02405,-0.00617
2015-03-31,200054.SZ,0.07306,0.15455
2015-03-31,200055.SZ,0.04137,-0.25878
2015-03-31,200056.SZ,0.04370,0.03586
2015-03-31,200058.SZ,0.03420,0.04161
2015-03-31,200152.SZ,-0.00911,-0.02160
2015-03-31,200160.SZ,0.02837,-0.00587
2015-03-31,200168.SZ,0.05133,-0.04892
2015-03-31,200413.SZ,0.00997,-0.04661
2015-03-31,200418.SZ,0.09453,0.19876
2015-03-31,200429.SZ,-0.02739,0.16262
2015-03-31,200468.SZ,0.01934,-0.04381
2015-03-31,200488.SZ,-0.00131,-0.83759
2015-03-31,200505.SZ,0.06156,-0.05293
2015-03-31,200512.SZ,0.03200,0.00929
2015-03-31,200521.SZ,0.05833,0.05880
2015-03-31,200530.SZ,0.02125,-0.01060
2015-03-31,200539.SZ,0.04816,-0.02232
2015-03-31,200541.SZ,-0.06476,0.03528
2015-03-31,200550.SZ,-0.08703,0.09675
2015-06-30,200550.SZ,-0.06970,0.09726
2015-06-30,200553.SZ,-0.03487,0.06061
2015-06-30,200570.SZ,0.04727,-0.03158
2015-06-30,200581.SZ,0.04114,-0.00515
2015-06-30,200596.SZ,-0.00399,-0.04699
2015-06-30,200613.SZ,-0.00608,0.00111
2015-06-30,200625.SZ,0.05225,0.03342
2015-06-30,200706.SZ,0.05295,0.07940
2015-06-30,200725.SZ,0.10037,-0.16061
2015-06-30,200726.SZ,-0.16930,0.02178
2015-06-30,200761.SZ,0.04289,0.52864
2015-06-30,200771.SZ,0.02037,0.02712
2015-06-30,200869.SZ,-0.08335,-0.00209
2015-06-30,200986.SZ,0.03082,0.20573
2015-06-30,200992.SZ,0.03381,0.00658
2015-06-30,201872.SZ,0.05623,0.05463
2015-06-30,900901.SH,0.00727,-0.01842
2015-06-30,900902.SH,0.02317,-0.10393
2015-06-30,900903.SH,-0.16394,0.03702
2015-06-30,900904.SH,-0.01363,-0.01699
2015-06-30,900905.SH,0.05726,0.13199
2015-06-30,900906.SH,-0.00449,-0.22693
2015-06-30,900907.SH,0.07329,-0.02758
2015-06-30,900908.SH,-0.01084,-0.07945
2015-06-30,900909.SH,0.11110,-0.03118
2015-06-30,900910.SH,-0.00494,0.00276
2015-06-30,900911.SH,-0.00560,0.03170
2015-06-30,900912.SH,0.05462,0.04637
2015-06-30,900913.SH,0.07489,-0.12236
2015-06-30,900914.SH,0.02802,-0.00855
2015-06-30,900915.SH,0.03188,-0.00294
2015-06-30,900916.SH,0.02096,-0.00596
2015-06-30,900917.SH,0.03361,0.00143
2015-06-30,900918.SH,-0.00602,-0.28548
2015-06-30,900919.SH,-0.03861,-0.03544
2015-09-30,900919.SH,-0.01738,-0.04272
2015-09-30,900920.SH,0.01810,-0.02279
2015-09-30,900921.SH,0.02932,-0.06872
2015-09-30,900922.SH,0.04401,-0.06604
2015-09-30,900923.SH,-0.03074,-0.02005
2015-09-30,900924.SH,-0.02521,-0.10687
2015-09-30,900925.SH,0.01821,0.10453
2015-09-30,900926.SH,-0.00215,-0.07376
2015-09-30,900927.SH,0.04595,0.09213
2015-09-30,900928.SH,0.05745,-0.01443
2015-09-30,900929.SH,-0.00422,0.01082
2015-09-30,900930.SH,-0.04912,-0.01150
2015-09-30,900932.SH,0.04937,0.28411
2015-09-30,900933.SH,-0.05497,0.27190
2015-09-30,900934.SH,0.08788,0.01971
2015-09-30,900935.SH,0.06177,0.06415
2015-09-30,900936.SH,0.07489,0.95839
2015-09-30,900937.SH,0.00505,0.01076
2015-09-30,900938.SH,-0.00450,0.03633
2015-09-30,900939.SH,0.01379,0.00232
2015-09-30,900940.SH,0.02940,-0.35616
2015-09-30,900941.SH,0.02246,0.02837
2015-09-30,900942.SH,0.00579,0.03362
2015-09-30,900943.SH,0.05263,-0.04058
2015-09-30,900945.SH,-0.03400,-0.04038
2015-09-30,900946.SH,-0.02665,0.00324
2015-09-30,900947.SH,0.00776,0.21931
2015-09-30,900948.SH,-0.00022,-0.31529
2015-09-30,900950.SH,0.15591,0.17416
2015-09-30,900951.SH,-0.00324,-0.32467
2015-09-30,900952.SH,0.23292,-0.19346
2015-09-30,900953.SH,-0.00979,0.00209
2015-09-30,900955.SH,-0.03197,-0.04348
2015-09-30,900956.SH,0.01533,0.07320
2015-09-30,900957.SH,0.07852,-0.09863
